timestamp,journal_id,player,stacks,guardian_points
1702671683,3691879982,6400010baa, Anrining,2,1945891
1702671686,3691880278,31000029a6, Addarr,2,3669826
1702671659,3691877930,6400010baa, Anrining,2,1995824
1702671654,3691877500,31000029a6, Addarr,2,3669102
1702671608,3691873397,6400010baa, Anrining,3,1441790
1702671620,3691874519,31000029a6, Addarr,2,3595604
1702671578,3691870629,6400010baa, Anrining,3,1437282
1702671580,3691870811,31000029a6, Addarr,3,2650856
1702671561,3691869064,6400010baa, Anrining,3,1382925
1702671536,3691866887,31000029a6, Addarr,3,2645095
1702671538,3691867041,6400010baa, Anrining,3,1418842
1702671491,3691862711,31000029a6, Addarr,3,2674219
1702671522,3691865615,6400010baa, Anrining,3,1436877
1702671456,3691859461,31000029a6, Addarr,3,2624122
1702671490,3691862625,6400010baa, Anrining,3,1405206
1702671417,3691855876,31000029a6, Addarr,3,2644561
1702671083,3691823808,6400010baa, Anrining,4,1143699
1702671351,3691849793,31000029a6, Addarr,4,2231726
1702671033,3691818610,6400010baa, Anrining,4,1194061
1702670898,3691804670,31000029a6, Addarr,4,2257131
1702670988,3691813963,6400010baa, Anrining,4,1178625
1702670933,3691808254,6400010baa, Anrining,4,1142388
1702670842,3691798701,31000029a6, Addarr,4,2174601
1702670891,3691803919,6400010baa, Anrining,4,1175635
1702670794,3691793549,31000029a6, Addarr,4,2218995
1702670832,3691797613,6400010baa, Anrining,4,1163594
1702670735,3691787046,31000029a6, Addarr,4,2276380
1702670674,3691780340,6400010baa, Anrining,4,1115423
1702670697,3691782837,31000029a6, Addarr,4,2312607
1702667914,3691546627,e0000c45f, Assasyn,1,7682190
1702670632,3691775961,6400010baa, Anrining,4,1072964
1702670658,3691778685,31000029a6, Addarr,4,2327715
1702667890,3691544455,e0000c45f, Assasyn,2,4210937
1702667900,3691545385,6400010baa, Anrining,2,1965950
1702667860,3691541706,e0000c45f, Assasyn,2,4304538
1702667879,3691543451,6400010baa, Anrining,2,1972303
1702667585,3691516387,e0000c45f, Assasyn,4,985104
1702667854,3691541194,6400010baa, Anrining,3,1425776
1702667489,3691506761,e0000c45f, Assasyn,4,914493
1702667806,3691537027,6400010baa, Anrining,3,1448599
1702667403,3691497831,e0000c45f, Assasyn,4,957035
1702667778,3691534399,6400010baa, Anrining,3,1393849
1702667900,3691545381,31000029a6, Addarr,2,3555706
1702667274,3691484438,e0000c45f, Assasyn,4,914146
1702667741,3691531136,6400010baa, Anrining,3,1386964
1702667136,3691470128,e0000c45f, Assasyn,4,971791
1702667824,3691538606,31000029a6, Addarr,3,2684694
1702667058,3691462177,e0000c45f, Assasyn,4,965799
1702667598,3691517686,6400010baa, Anrining,4,1173141
1702667773,3691533956,31000029a6, Addarr,3,2758199
1702671395,3691853865,4600025811, Austin,4,2702920
1702666979,3691454372,e0000c45f, Assasyn,4,956456
1702667556,3691513531,6400010baa, Anrining,4,1174071
1702667730,3691530121,31000029a6, Addarr,3,2769286
