Name,4 Stack,3 Stack,2 Stack,1 Stack,4 Points,3 Points,2 Points,1 Point,Gaurdsmen,Monster,Specialists,Total Points,RFQ
Bamboozled,0,1,0,0,0,1850422,0,0,9,9,8,1850422,1
murderer06,2,7,6,0,1853323,7176007,12824053,0,8,8,8,21853383,0.915192856
Master Shake,7,14,6,1,10808239,21401062,11917955,3805190,9,8,7,47932446,0.774511007
Daddy Shark,5,7,3,1,6945581,13535039,7621670,1352805,9,9,9,29455095,0.764197637
Хельсинг Ван Кеноби,13,12,5,2,28215067,34724695,19239110,13146550,9,8,8,95325422,0.704013196
TAYGUN XXVIII,21,10,7,2,26050267,13333187,20317581,9391377,9,8,8,69092412,0.622964863
YENER,33,25,7,4,57479996,51998734,20925917,20234846,9,8,8,150639493,0.618426783
EvilJester,16,10,6,1,26183809,20651957,15654260,5884836,9,9,8,68374862,0.617055037
Daniel BR,24,16,4,1,45418568,52198516,14033021,6816300,9,8,8,118466405,0.616612254
Lelor,4,1,3,0,7367826,2207190,8881516,0,9,8,8,18456532,0.600801169
Stella,29,20,9,1,34098529,28045752,17306582,3422009,8,8,8,82872872,0.588544138
Ironstone,18,11,7,1,41550930,32444728,24628629,1366669,9,8,8,99990956,0.584453118
Iron Eagle,30,20,7,2,12256550,8784123,4892817,2128140,7,7,7,28061630,0.563227439
Leviathan,9,4,1,2,9733098,5184929,1521131,4140844,9,8,8,20580002,0.527060396
Gragra,2,2,0,0,2908967,3236391,0,0,9,8,8,6145358,0.526639945
Hairball,32,18,8,0,37569191,26320139,14443314,0,9,8,8,78332644,0.520389086
Cengiz,53,31,13,2,45176210,29474107,15904496,3463506,8,8,7,94018319,0.519495663
Nuaginn,19,9,4,0,25779862,15320292,12259059,0,9,9,9,53359213,0.516862027
Lordisen,5,3,1,0,10838111,7815226,3393551,0,9,9,9,22046888,0.508406311
Alexander Magnus,26,13,5,4,31925217,16748478,8089433,8073915,8,8,8,64837043,0.507608374
Envel,11,4,4,0,27837527,11720937,16341263,0,9,8,8,55899727,0.502009607
MACE,22,10,4,1,21919460,12073175,6516365,3040945,8,8,8,43549945,0.496682258
Jogiyo,8,3,2,1,9169016,3373799,2511519,2892971,8,8,8,17947305,0.489114605
Raspoutine,35,15,5,2,37947225,18866017,9905111,6783047,9,9,8,73501400,0.483721058
Morano,21,9,4,1,45715833,22974352,13625975,5528625,9,8,8,87844785,0.479583984
El Flaco069,16,6,6,0,16856336,6866635,8486782,0,9,9,8,32209753,0.476669815
Earlot the BIG PIG,14,4,4,0,35705789,13666715,17549330,0,9,8,8,66921834,0.466455313
Nelar,24,14,3,1,26627676,15945083,4284888,2435748,9,8,8,49293395,0.459812496
Page Not Found,13,7,2,0,4385889,2571512,1094491,0,8,7,7,8051892,0.45529709
R Sole,23,8,7,1,67754158,26694892,29134125,84122,9,9,8,123667297,0.452125504
Boskone,4,3,0,0,5374129,4422736,0,0,9,8,8,9796865,0.451444008
QUEEN WISH,45,20,6,3,43245236,21126123,6668597,7401750,8,8,7,78441706,0.448695876
Forcesmith,51,17,11,2,196700230,76599678,73239617,8327587,9,9,9,354867112,0.445707355
Maize,18,3,7,0,19738726,4116665,11568572,0,8,9,8,35423963,0.44278606
Dynda,20,8,4,0,25834227,11893543,8272067,0,8,8,8,45999837,0.438384379
Lerinir,55,15,16,0,64735368,20795977,29213096,0,9,8,8,114744441,0.435830029
Khan,62,18,8,5,91750334,31041963,18214665,20753718,9,8,8,161760680,0.432802001
Teoeu,57,23,7,3,44089198,19201606,7773026,6444432,8,9,8,77508262,0.431167764
Вампир,38,11,7,2,38694997,13855618,9830361,5410638,9,8,8,67791614,0.42920673
Sulfu,12,4,4,0,10405363,3663707,4018357,0,9,8,8,18087427,0.424718452
GoldenOuthouse,32,14,3,1,44501895,22273937,6356022,4062617,9,9,9,77194471,0.423509295
Mad,34,12,8,0,65116247,24414567,23121049,0,9,8,8,112651863,0.421969195
ABX,64,25,10,3,57027027,23043463,11913451,6622889,9,9,8,98606830,0.421672647
Beastee,14,3,3,1,12909068,3405190,4100694,1495478,8,8,8,21910430,0.410825438
Kokomelas,9,3,2,0,9270581,3451405,3008336,0,9,8,8,15730322,0.410655357
Lightbringer,51,16,11,1,53239910,19632073,15589211,1868156,9,8,8,90329350,0.410602313
Czapajevo,7,2,2,0,13809619,4058839,5484985,0,9,9,8,23353443,0.40866882
Russell,50,18,6,3,52091308,18925744,9218707,7745781,8,8,8,87981540,0.407929118
Cedora Malemort,32,13,4,1,32412794,13929719,5163212,2886618,9,8,8,54392343,0.404092705
Szeri,68,21,15,0,80062512,27903844,26070534,0,9,8,8,134036890,0.402683008
Daniel,47,15,3,2,66441623,26023506,6461147,12036677,8,8,8,110962953,0.401226975
Asada,15,5,3,0,37435140,12497030,11893893,0,9,9,9,61826063,0.394508753
Nein,40,18,4,1,13712411,6416012,1182784,912369,8,8,7,22223576,0.382979094
Coifyn,19,6,3,0,33411073,12685054,8046366,0,9,9,8,54142493,0.382904792
British Psycho,22,6,4,0,36388335,12339799,10081229,0,8,8,8,58809363,0.381249292
ВАРЯГ,20,6,2,0,13252368,5216524,2504755,0,8,8,8,20973647,0.368141935
Daijind,15,5,2,0,49920274,17352766,11692910,0,9,9,8,78965950,0.367825322
doug jackson,39,13,3,2,27676139,9777398,3243089,3042563,8,8,8,43739189,0.367246178
Dolkree,6,3,1,0,10218844,4494991,1388767,0,9,8,8,16102602,0.365391755
Mr Wick,89,27,9,2,117279580,43596473,18224639,5665726,9,8,8,184766418,0.365254892
Awanturnica Alexis,16,5,2,0,22148758,8201248,4133896,0,9,8,8,34483902,0.357707315
Sir Zawisza,21,4,2,3,51243170,10204416,5296731,11844899,9,9,8,78589216,0.347961812
Kaosh,10,4,1,0,14222173,5584037,1878871,0,9,8,8,21685081,0.344149418
Grass man,19,6,4,0,10647079,3479691,2044970,0,8,8,8,16171740,0.341624402
Vishnu,65,20,5,3,31451182,8989785,2912419,4335046,8,8,8,47688432,0.340486137
BadFin,41,12,5,1,49470451,16014331,8373692,1110260,9,9,8,74968734,0.340118895
Zefar,76,22,7,3,60598578,19264093,7167786,4033343,9,8,6,91063800,0.334548108
Mesjasz,34,12,3,0,55556050,20011272,7068868,0,9,8,8,82636190,0.327703153
DarkRider,72,19,8,1,91299250,25230983,13714434,4877491,8,8,8,135122158,0.324320664
Orion,20,6,2,0,9225405,3092561,1308966,0,8,8,8,13626932,0.323002052
Seeyainhell,31,9,2,0,226764963,79459519,23726359,0,9,9,9,329950841,0.312731065
Maddog 9,67,19,6,0,11431840,3368305,1637891,0,8,8,8,16438036,0.304549522
DaDinky,40,10,3,0,37654861,11904334,4387855,0,9,8,8,53947050,0.302003335
Bomrin,27,7,2,1,19824168,5461902,1988310,955929,8,8,8,28230309,0.297770067
Ildanen,25,5,4,0,87863029,19756815,17126348,0,9,9,8,124746192,0.295665642
Dairamar,20,5,2,0,12832286,3478939,1894509,0,9,8,8,18205734,0.295151407
TR BaBa,20,5,2,0,15035818,4062191,2057348,0,9,8,8,21155357,0.289266638
Simba,7,1,1,0,4879582,547404,1425333,0,8,8,7,6852319,0.287893339
DaveC2K,19,4,2,0,35646952,8811124,5181846,0,9,9,9,49639922,0.281889444
FOCUS,59,11,7,0,73054654,14717351,11815657,0,9,9,8,99587662,0.266428667
Robson RJ,57,12,4,0,135887132,35062880,12041543,0,9,9,8,182991555,0.257413098
Angelica,33,5,4,0,122538835,20326338,22026752,0,9,9,9,164891925,0.256853633
Seraius,22,7,0,0,14111044,4727773,0,0,8,8,8,18838817,0.250959123
Charamas,29,6,2,0,15828573,3366521,1932644,0,9,8,8,21127738,0.250815539
